127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000603
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000590
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.016540
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001405
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001143
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000545
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000560
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000345
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002039
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000600
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000533
